Prof Name,Course Number
Shafik Bhalloo,BUSM 1285
Shafik Bhalloo,CRIM 1115
Shahnaz Qayumi,ECED 1102
Shane Kwong,FSRV 3214
Shannon Page,CMNS 1115
Shannon Page,ENGL 1123
Sharlie Eicker,SOCI 1126
Shelley Rivkin,SSRV 1118
"Shelley Rivkin, Janet Douglas",SSRV 1131
Shervin Shahriari,BUSM 1500
Shervin Shahriari,RP 4100
Shervin Shahriari,RP 4830
Shirley Wacowich-Sgarbi,CHEM 1114
Shirley Wacowich-Sgarbi,CHEM 2316
"Shizuka Kai, Candelario Andrade Gutierrez, Malcolm Dow, Mara Gottler, Stephanie Elgersma, Yufei Tang",RP 2360
"Shizuka Kai, Candelario Andrade Gutierrez, Mara Gottler, Yufei Tang",RP 2160
Shonna Reynolds,FMGT 3223
Shonna Reynolds,RP 4818
Shuhash Shimon,ECON 1220
Shuhash Shimon,ECON 1221
Shuk Wong Li,STAT 1123
Simon Rolston,CMNS 1115
Simon Rolston,ENGL 1123
Simon Rolston,ENGL 1130
Simone Longpre,EXPE 4800
Skylet Yu,ENGL 1123
Social Problems,SOCI 1127
Stacey Collins,SPAN 1115
Stacey Collins,SPAN 1215
Stephanie Cheung,BIOL 1111
Stephanie Cheung,BIOL 2315
Stephanie Gladman,NUTR 1100
Stephanie Gladman,NUTR 2112
Stephanie Gladman,NUTR 2212
Stephanie Hummel,CMNS 1114
Stephanie Koonar,MARK 1115
Stephen Chiong,CPSC 1480
Steven Hubert,FINA 1131
Steven Hubert,RP 2130
Steven Hubert,RP 2230
Sumeet Jaswal,PSYC 1115
Sumeet Jaswal,PSYC 2320
Susan Font,CMNS 2228
Susan Font,ENGL 1107
Susan Marshall,MATH 1150
Susan Marshall,MATH 1190
Susan Webster Benwick,FINA 1120
Susan Webster Benwick,FINA 1143
Susan Webster Benwick,RP 2141
Systems Analysis & Design,CSIS 1300
Sze-Ching Yip,FMGT 1115
Sze-Ching Yip,FMGT 1116
Sze-Ching Yip,FMGT 1215
Sze-Ching Yip,FMGT 4816
Tak Lam Wong,RP 4950
Tanya Lewis,ENGL 1129
Tanya Lewis,ENGL 2223
Terrence Coates,PHYS 1114
Terrence Coates,PHYS 2309
Terrence Coates,PHYS 2424
Terri Evans,POLI 1119
Terry Van Roon,RP 2151
Thor Polukoshko,ENGL 1100
Thor Polukoshko,ENGL 1123
Thor Polukoshko,ENGL 1130
Tiffany Johnstone,CMNS 1115
Tiffany Johnstone,ENGL 1123
Timothy Edwards,FMGT 1116
Timothy Edwards,FMGT 2308
Timothy Edwards,FMGT 2421
Timothy Edwards,RP 4828
Tito Ferradans,RP 4915
Todd Klaiman,ASIA 2250
Tricia Milne,CRIM 1116
Troy Chenier,PSYC 1215
Troy Chenier,PSYC 3230
Tyler Higgs,RP 4980
Tyler Higgs,RP 4985
Tyron Tsui,ASTR 1101
Tyron Tsui,ASTR 3310
Valerie Lloyd,PSYC 1115
Valerie Lloyd,PSYC 2341
Valerie Peters,EXCH 2900
Valerie Spicer,CRIM 1125
Valerie Spicer,CRIM 2415
Vicky Cai,FMGT 2294
Vicky Cai,FMGT 2325
Vijaykumar Singh,MATH 1152
Warren Giovannetti,ECON 1220
Warren Giovannetti,ECON 2296
Web Development I,CPSC 1030
Wei Xia,CHIN 2223
Wei Xia,CHIN 3331
Wei-Ting Tseng,SOCI 1127
Writing & Grammar Skills,ENGL 1110
Written Communications,CMNS 1118
Yanguo Yang,CHEM 1120
Yayoi Shinbo,JAPN 1115
Yayoi Shinbo,JAPN 1117
Yew-Wei Lim,RP 4840
Yew-Wei Lim,STAT 1123
You Bin Tan,RP 4830
Yu-Ling Tsai,RP 4810
Yu-Ling Tsai,STAT 1123
Yu-Ling Tsai,STAT 3223
Yue-Ching Cheng,RECR 2295
Yukino Nitta,BIOL 1111
Yukino Nitta,BIOL 2370
Yuko Soukup,RP 3161
Yvan Morissette,DSGN 1155
