Prof Name,Course Number
Tara Hodgson,NSPE 7280
Rachel Victor,NSPE 7290
Tara Hodgson,NSPE 7300
Tara Hodgson,NSPE 7310
Tara Hodgson,NSPE 7360
Tara Hodgson,NSPE 7380
Tara Hodgson,NSPE 7500
Tara Hodgson,NSPE 7600
Tara Hodgson,NSPE 7800
Amanda Kelloway,NSPN 7100
Jen Niethammer,NSPN 7100
Navjot Padda,NSPN 7100
Ali Lee,NSPN 7150
Amanda Kelloway,NSPN 7150
Jessica Dyck,NSPN 7150
Michelle Hopkins,NSPN 7150
Samantha Hawley,NSPN 7200
Siwon Kim,NSPN 7200
Amanda Kelloway,NSPN 7250
Anna Paraninfi,NSPN 7300
Navjot Padda,NSPN 7450
Anna Paraninfi,NSPN 7500
Bianca Lindner,NSPN 7710
Sharon Janzen,NSPN 7710
Nicole Pasquino,NSPN 7720
Ruby Gidda,NSPN 7720
Sharon Janzen,NSPN 7720
Lauren Goldman,NSPN 7735
Nicole Pasquino,NSPN 7735
Anna Paraninfi,NSPN 7736
Rachel Nicoletti,NSPN 7741
Sheena Thursby,NSPO 1110
Sheena Thursby,NSPO 1120
Sheena Thursby,NSPO 1130
Sheena Thursby,NSPO 7100
Sheena Thursby,NSPO 7250
Valerie Johnson,NSPO 7811
Amy Kary,NSSC 0320
Amber Davis,NSSC 7000
Janet Morrison,NSSC 7115
Janet Morrison,NSSC 8000
Anita Wills,NSSC 8110
Jean Dehaan,NSSC 8300
Corrine Schneider,NSSC 8500
Corrine Schneider,NSSC 8600
Dailaan Shaffer,OCHS 1000
Robert Miller,OCHS 1000
Adrian Hingston,OCHS 1100
Shelley Baldry,OCHS 1200
Michael Robinsmith,OCHS 1410
Adrian Hingston,OCHS 1600
Shelley Baldry,OCHS 2100
Lesley Norris,OCHS 2200
Bobby Sidhu,OCHS 2320
Wendy Bennett,OCHS 2340
Gregory Quan,OCHS 2420
Elizabeth Zook,OCHS 2440
Lesley Norris,OCHS 3200
Cheri-Leigh Sewell,OCHS 3330
Bobby Sidhu,OCHS 3360
Gina Vahlas,OCHS 3520
Cris Barzan,OCHS 4320
Gurleen Bhatia,OCHS 4360
Robert Miller,OCHS 4420
Robert Miller,OCHS 4440
Gurleen Bhatia,OCHS 4520
Bruce Jackson,OCHS 4600
Baljit Lashar,OFFC 1001
Bonnie Dumont,OFFC 1001
Inge Kassteen,OFFC 1001
Raquel Reyes,OFFC 1007
Tricia George,OFFC 1007
Baljit Lashar,OFFC 1008
Candace Travis,OFFC 1015
Tricia George,OFFC 1045
Baljit Lashar,OFFC 1048
Ailin Chen,OFFC 1055
Candace Travis,OFFC 1055
Baljit Lashar,OFFC 2001
Inge Kassteen,OFFC 2001
Suzanne Hauschka,OFFC 2001
Alex Fakidis,OPMT 0102
Judy Li,OPMT 0199
Peter Fenrich,OPMT 0199
Alex Fakidis,OPMT 0202
Alex Fakidis,OPMT 0203
Alex Fakidis,OPMT 0213
Alex Fakidis,OPMT 0214
Alex Fakidis,OPMT 0215
Alex Fakidis,OPMT 0216
Alex Fakidis,OPMT 0405
Sandra Amador,OPMT 1106
Amy Goldlist,OPMT 1110
Andrew Parkinson,OPMT 1110
Armarn Roland,OPMT 1110
Daniel Anvari,OPMT 1110
Germain Tanoh,OPMT 1110
Israr Rahimi,OPMT 1110
Joe Ilsever,OPMT 1110
Myra Andrews,OPMT 1110
Spencer Richardson,OPMT 1110
Germain Tanoh,OPMT 1130
Judy Li,OPMT 1130
Leslie Major,OPMT 1130
Sam Choo,OPMT 1130
Simin Sadat Chavoshi Jolfaee,OPMT 1130
Spencer Richardson,OPMT 1130
Jason Fakidis,OPMT 1173
Mark Bukata,OPMT 1175
Stuart East,OPMT 1175
Adrienne Watt,OPMT 1187
Darren Brant,OPMT 1187
Hylton Ferreira,OPMT 1187
Jocelan Blackwell,OPMT 1187
Michael Lachocki,OPMT 1187
Shirley Lu,OPMT 1187
John Paul Manianis,OPMT 1191
Quang Tran,OPMT 1191
Wayne Arondus,OPMT 1192
Brian Amouzegar,OPMT 1193
Amanda Dumont,OPMT 1198
Cory Thickett,OPMT 1198
Jason DeRoche,OPMT 1198
Mario Porras,OPMT 1198
Mark Bukata,OPMT 1198
Mark Robinson,OPMT 1198
Michael Lachocki,OPMT 1198
Quang Tran,OPMT 1198
Remi Trepanier,OPMT 1198
Melissa McLachlan,OPMT 1500
Jason Young,OPMT 1710
David Pepin,OPMT 1740
Vanessa McCormick,OPMT 2098
Rob Bains,OPMT 2275
Stuart East,OPMT 2275
Arda Akoglu,OPMT 2298
David Pepin,OPMT 2298
Luis Lopez,OPMT 2298
Sarb Verma,OPMT 2298
Hamid Mahmoudi,OPMT 2500
Tracey Demirbas,OPMT 2500
Michael Lachocki,OPMT 2505
Jason Young,OPMT 2510
Moataz El-Menshawy,OPMT 2510
Jocelan Blackwell,OPMT 2515
Rami Mustafa,OPMT 2515
David Pepin,OPMT 2740
Sandra Amador,OPMT 3306
David Muncaster,OPMT 3345
Michael Lachocki,OPMT 3520
Nindy Khatkar,OPMT 3520
Alex Fakidis,OPMT 3525
Jason Fakidis,OPMT 3525
David Muncaster,OPMT 4699
Mark Robinson,OPMT 4699
Richard Vurdela,OPMT 5120
Armarn Roland,OPMT 5515
Sam Choo,OPMT 5700
Neilu Rishi,OPMT 7701
Alexandra Yallouz,ORGB 1105
Anthony Okuchi,ORGB 1105
Dea Lamparas,ORGB 1105
Dennis MacDougall-Purnell,ORGB 1105
Heidi Bachert-Burke,ORGB 1105
Leila Rahemtulla,ORGB 1105
Lenalda Sutherland,ORGB 1105
Neera Vohra,ORGB 1105
Pierre Matthee,ORGB 1105
Zena Merali,ORGB 1105
Iren Heder,ORGB 2505
Cheryl Bell-Gadsby,ORGB 2605
Dalton Grady,ORGB 2605
Erica Bearss,ORGB 5110
Mary Ho,ORGB 8700
Brent Corey,PEMA 1000
Brian Amouzegar,PEMA 1000
David Brandle,PEMA 2000
Brent Corey,PEMA 3001
Savy Spada,PERF 7100
Robert Leslie,PERF 7200
Robert Chalus,PERF 8300
Robert Chalus,PERF 8500
David Woods,PHYS 0309
Michael Harder,PHYS 0312
Claudine Warburton,POLY 1005
Jennifer Madigan,POLY 1005
Michele Bridge,POLY 1005
Nanda Dimitrov,POLY 1005
Saad Shawer,POLY 1005
Tuhin Dey,POLY 1005
Sylvia Gajdics,POLY 1020
Lauren Schutte,POLY 1030
Ritchie Diopita,POWR 0142
Alex Podut,POWR 0143
Alok Dhungana,POWX 1110
Alok Dhungana,POWX 1120
Raj Samra,PPGS 0175
Azar Pakdaman-Savoji,PSYC 1101
Istvan Geczy,PSYC 1101
Prab Samra,PSYC 1101
Azar Pakdaman-Savoji,PSYC 1102
Ken Zeleschuk,PUBW 1001
Ken Zeleschuk,PUBW 1121
Mario Piche,RAIL 1001
Vince Jones,RAIL 1001
Mario Piche,RAIL 1010
Mario Piche,RAIL 1020
Alexia Constantinou,RENR 7004
Eric Anderson,RENR 7007
Kelly Scott,RENR 7008
Gwyn Taylor,RENR 7010
Eric Anderson,RENR 7016
Cassie Friesen,RENR 8101
Millie Kuyer,RENR 8104
Cassie Friesen,RENR 8106
Eric Anderson,RENR 8300
Anayansi Cohen-Fernandez,RENR 8301
Eric Saczuk,RPAS 3100
Tilman Thrum,SGST 9010
Valentina Dabic,SGST 9020
Ali Palizban,SGST 9110
Ebrahim Vaahedi,SGST 9120
Moein Manbachi,SGST 9130
Ebrahim Vaahedi,SGST 9310
Mahda Jahromi,SGST 9320
Emanuel Serban,SGST 9340
Alan Weston,SURV 1104
Alan Weston,SURV 2205
Kishore Anand,TDMT 1104
Gordon Kennedy,TDMT 1409
Jackie Li,TDMT 2204
Scott Bennie,TDMT 2251
Pina Melchionna,TDMT 2280
Alex Maxwell,TELC 0107
Carlo Turra,TELC 0107
Aaron Lee,TELC 0130
Carlo Turra,TELC 0208
Mike Lowe,TELX 3010
Mike Lowe,TELX 3020
Allan Suckling,TMGT 7102
Gerald Gatchalian,TMGT 7111
Vida Morkunas,TMGT 7112
Vida Morkunas,TMGT 7114
Randy Robinson,TMGT 7121
Nitasha Naicker,TMGT 7122
Kai Hui,TMGT 7123
Izelde van Jaarsveld,TMGT 7133
Vida Morkunas,TMGT 7134
Gerald Gatchalian,TMGT 7135
Izabela Lazar,TMGT 7142
Neera Vohra,TMGT 7144
Brian Grossman,TMGT 7145
Allan Suckling,TMGT 7151
Allan Suckling,TMGT 7155
Bryan Graziano,VENT 1824
Chad Flinn,VENT 1824
Yonatan Yohannes,WATR 1010
Paul Fowler,WELD 0102
Mathew Smith,WELD 1260
Jeanie Chan,XBEM 3050
Holly Munn,XCOM 1007
Nicholas Fox,XCOM 2040
Nicholas Fox,XCOM 3110
Hamidreza Talebi,XCSA 1100
Hamidreza Talebi,XCSA 1101
Hamidreza Talebi,XCSA 1102
Hamidreza Talebi,XCSA 1103
Hamidreza Talebi,XCSA 1104
Sandy St Cyr,XDMS 5001
Kimberley Talarico,XDMS 5002
Steve Wilson,XFSC 3020
Steve Wilson,XFSC 3030
Melanie Paddon,XFSC 3040
Warren Krahenbil,XFSC 3055
Carolyn Emon,XFSC 3400
Julie Jones,XFSC 3415
Luc Seguin,XFSC 3420
Aimee Falkenberg,XFSC 7856
Eric Saczuk,XRPA 1100
Eric Saczuk,XRPA 1200
Eric Saczuk,XRPA 1500
Eric Saczuk,XRPA 1600
Josh Vanwyck,XZEB 1001
Natalie Douglas,XZEB 1160
Jeremy Field,XZEB 1166
